Products,aws_eng_name,aws_chn_name,eng_description,chn_description,
,AWS IoT Things Graph轻松联接设备和 Web 服务,,,,
,AWS Partner Device CatalogAWS 兼容的 IoT 硬件精选目录,,,,
,FreeRTOS适用于微控制器的实时操作系统,,,,
,,,,,
Machine Learning/机器学习,Amazon SageMaker大规模构建、训练和部署机器学习模型,,,,
,Amazon Augmented AI轻松实施机器学习预测的人工审核,,,,
,Amazon CodeGuru查找最昂贵的代码行,,,,
,Amazon Comprehend发现文本中的洞察和关系,,,,
,Amazon DevOps Guru采用机器学习技术的云运营服务,,,,
,Amazon Elastic Inference深度学习推理加速,,,,
,Amazon Forecast使用机器学习提高预测准确性,,,,
,Amazon Fraud Detector更快发现更多在线欺诈行为,,,,
,Amazon Kendra使用机器学习重新构建企业搜索,,,,
,Amazon Lex构建语音和文本聊天机器人,,,,
,Amazon Lookout for Equipment（预览版）通过分析传感器数据检测异常行为,,,,
,Amazon Lookout for Metrics（预览版）检测指标中的异常,,,,
,Amazon Lookout for Vision使用计算机视觉发现产品缺陷,,,,
,Amazon Monitron端到端的设备监控系统,,,,
,Amazon Personalize在应用程序中构建实时建议,,,,
,Amazon Polly将文本转换为逼真的语音,,,,
,Amazon Rekognition分析图像和视频,,,,
,Amazon Textract从文档中提取文本和数据,,,,
,Amazon Translate自然流利的语言翻译,,,,
,Amazon Transcribe自动语音识别,,,,
,AWS Deep Learning AMIAmazon EC2 上的深度学习,,,,
,AWS Deep Learning Containers用于深度学习的 Docker 映像,,,,
,AWS DeepComposer启用机器学习的音乐键盘,,,,
,AWS DeepLens支持深度学习的摄像机,,,,
,AWS DeepRacer由机器学习驱动的自动驾驶 1:18 比例赛车,,,,
,AWS Inferentia机器学习推理芯片,,,,
,AWS Panorama（预览版）借助边缘的计算机视觉提高运营效率,,,,
,AWS 上的 Apache MXNet可扩展的开源深度学习框架,,,,
,AWS 上的 PyTorch灵活的开源机器学习框架,,,,
,TensorFlow on AWS开源机器智能库,,,,
,,,,,
Management & Governance/管理与监管,Amazon CloudWatch监控资源和应用程序,,,,
,Amazon Managed Service for Grafana（预览版）强大的交互式数据可视化,,,,
,Amazon Managed Service for Prometheus（预览版）高度可用、安全的容器监控,,,,
,AWS Auto Scaling扩展多种资源以满足需求,,,,
,AWS 聊天机器人适用于 AWS 的 ChatOps,,,,
,AWS CloudFormation使用模版创建和管理资源,,,,
,AWS CloudTrail跟踪用户活动和 API 使用情况,,,,
,AWS 命令行界面用于管理 AWS 服务的统一工具,,,,
,AWS 计算优化器确定最佳的 AWS 计算资源,,,,
,AWS Config跟踪资源库存和变更,,,,
,AWS Control Tower设置和管理安全、合规的多账户环境,,,,
,AWS 控制台移动应用程序在外出时访问资源,,,,
,AWS Distro for OpenTelemetry（预览版）收集相关的指标和跟踪,,,,
,AWS License Manager跟踪、管理和控制许可证,,,,
,AWS 管理控制台基于 Web 的用户界面,,,,
